Skill Group Bin,Round Group,Winner,de_dust2,de_nuke,de_inferno,de_mirage,de_cbble,de_cache,de_overpass
Skill Group 1-6,Round 1,T Win,56.81%,51.44%,51.94%,57.53%,58.10%,54.41%,54.82%
Skill Group 7-10,Round 1,T Win,57.54%,51.52%,53.21%,56.30%,59.09%,54.40%,54.26%
Skill Group 11-14,Round 1,T Win,58.57%,52.13%,55.06%,56.20%,59.63%,55.55%,54.94%
Skill Group 15-18,Round 1,T Win,58.40%,52.77%,56.72%,55.51%,58.07%,55.18%,54.53%
Skill Group 1-6,Rounds 2 - 3,T Win,54.22%,46.80%,49.26%,54.28%,55.33%,50.91%,51.56%
Skill Group 7-10,Rounds 2 - 3,T Win,55.05%,45.88%,49.61%,53.03%,55.46%,51.03%,50.56%
Skill Group 11-14,Rounds 2 - 3,T Win,55.99%,46.40%,51.08%,53.12%,56.86%,52.25%,51.47%
Skill Group 15-18,Rounds 2 - 3,T Win,55.64%,46.40%,51.15%,52.16%,54.12%,51.60%,49.23%
Skill Group 1-6,Rounds 4 - 15,T Win,50.79%,42.88%,47.40%,49.73%,51.85%,47.14%,47.13%
Skill Group 7-10,Rounds 4 - 15,T Win,49.59%,40.19%,45.38%,46.62%,49.53%,45.39%,44.08%
Skill Group 11-14,Rounds 4 - 15,T Win,49.03%,38.01%,43.61%,44.67%,47.78%,44.26%,42.39%
Skill Group 15-18,Rounds 4 - 15,T Win,48.75%,36.82%,41.93%,43.05%,45.41%,43.29%,40.12%
