Skill Group Bin,Round (group),Round Winner,RoundEndReason,de_dust2,de_dust2,de_nuke,de_nuke,de_inferno,de_inferno,de_mirage,de_mirage,de_cbble,de_cbble,de_train,de_train,de_overpass,de_overpass,de_aztec,de_aztec,de_dust,de_dust,de_vertigo,de_vertigo
Skill Group Bin,Round (group),Round Winner,RoundEndReason,Planted,Not Planted,Planted,Not Planted,Planted,Not Planted,Planted,Not Planted,Planted,Not Planted,Planted,Not Planted,Planted,Not Planted,Planted,Not Planted,Planted,Not Planted,Planted,Not Planted
Skill Group 1-6,Round 1,T Win,All CT's Eliminated,35.20%,13.90%,27.70%,15.10%,29.90%,16.30%,34.70%,12.50%,28.10%,17.30%,30.10%,14.80%,30.20%,15.10%,24.70%,19.00%,22.00%,24.40%,24.60%,17.40%
Skill Group 7-10,Round 1,T Win,All CT's Eliminated,39.60%,12.70%,31.50%,14.10%,33.80%,14.30%,38.60%,11.70%,33.10%,16.40%,34.50%,13.40%,33.70%,11.30%,27.10%,16.70%,24.30%,22.50%,26.90%,18.10%
Skill Group 11-14,Round 1,T Win,All CT's Eliminated,42.60%,13.10%,35.00%,14.30%,39.60%,12.50%,42.40%,11.60%,36.70%,14.90%,38.40%,10.50%,39.10%,10.00%,27.90%,13.70%,26.90%,19.70%,28.50%,19.10%
Skill Group 15-18,Round 1,T Win,All CT's Eliminated,43.30%,14.50%,36.90%,15.70%,43.80%,11.80%,43.80%,12.10%,37.40%,16.10%,40.90%,9.40%,42.60%,10.40%,27.40%,12.70%,23.90%,20.20%,26.70%,20.90%
Skill Group 1-6,Rounds 2 - 3,T Win,All CT's Eliminated,32.40%,15.40%,24.70%,16.60%,27.00%,17.60%,32.20%,13.80%,22.80%,17.40%,27.50%,17.60%,33.90%,12.50%,20.00%,21.70%,16.70%,27.20%,23.80%,19.40%
Skill Group 7-10,Rounds 2 - 3,T Win,All CT's Eliminated,35.70%,13.90%,27.20%,15.00%,29.90%,15.00%,35.30%,12.90%,29.40%,18.90%,32.00%,15.00%,36.90%,10.60%,21.20%,19.00%,18.40%,24.10%,25.90%,18.90%
Skill Group 11-14,Rounds 2 - 3,T Win,All CT's Eliminated,38.10%,14.20%,29.80%,15.20%,34.60%,13.00%,38.30%,12.90%,30.20%,17.20%,35.00%,12.00%,40.10%,10.50%,21.70%,16.80%,19.80%,22.40%,24.80%,19.60%
Skill Group 15-18,Rounds 2 - 3,T Win,All CT's Eliminated,37.50%,17.10%,30.20%,17.80%,36.10%,14.10%,37.70%,15.40%,29.80%,18.70%,36.10%,13.20%,41.10%,11.80%,18.20%,16.90%,18.20%,21.40%,23.10%,19.30%
Skill Group 1-6,Rounds 4 - 15,T Win,All CT's Eliminated,27.40%,16.70%,21.20%,16.50%,24.10%,18.10%,27.10%,15.10%,24.00%,19.60%,24.40%,17.70%,30.50%,14.30%,16.80%,22.20%,14.80%,26.40%,21.30%,21.00%
Skill Group 7-10,Rounds 4 - 15,T Win,All CT's Eliminated,28.70%,14.80%,22.40%,14.40%,26.10%,15.20%,28.50%,14.10%,23.60%,17.50%,26.10%,14.90%,31.70%,12.10%,16.60%,19.20%,15.90%,22.60%,21.30%,19.50%
Skill Group 11-14,Rounds 4 - 15,T Win,All CT's Eliminated,29.40%,13.80%,23.00%,13.20%,27.80%,11.40%,28.60%,13.00%,22.80%,15.10%,27.00%,11.70%,30.70%,11.40%,16.80%,17.10%,16.80%,20.00%,19.50%,18.80%
Skill Group 15-18,Rounds 4 - 15,T Win,All CT's Eliminated,29.50%,13.90%,22.60%,13.40%,28.50%,9.20%,27.70%,13.30%,21.50%,13.90%,26.90%,10.90%,30.30%,11.40%,15.80%,16.00%,16.90%,19.50%,16.70%,18.20%
Skill Group 1-6,Round 1,CT Win,All T's Eliminated,,27.90%,,31.50%,,34.50%,,25.20%,,32.90%,,26.90%,,16.10%,,38.50%,,42.40%,,33.80%
Skill Group 7-10,Round 1,CT Win,All T's Eliminated,,27.30%,,31.00%,,34.20%,,25.70%,,31.90%,,26.20%,,19.00%,,38.60%,,42.70%,,35.10%
Skill Group 11-14,Round 1,CT Win,All T's Eliminated,,27.00%,,31.50%,,31.00%,,26.00%,,32.50%,,24.00%,,18.80%,,42.00%,,44.10%,,38.20%
Skill Group 15-18,Round 1,CT Win,All T's Eliminated,,26.70%,,32.00%,,28.60%,,25.90%,,32.40%,,22.90%,,19.40%,,44.90%,,47.20%,,41.80%
Skill Group 1-6,Rounds 2 - 3,CT Win,All T's Eliminated,,32.00%,,36.70%,,38.60%,,30.60%,,39.00%,,30.80%,,21.60%,,45.00%,,46.90%,,36.30%
Skill Group 7-10,Rounds 2 - 3,CT Win,All T's Eliminated,,32.90%,,38.40%,,40.30%,,32.00%,,35.60%,,32.30%,,23.50%,,47.40%,,49.40%,,40.00%
Skill Group 11-14,Rounds 2 - 3,CT Win,All T's Eliminated,,33.70%,,40.00%,,39.60%,,33.70%,,39.30%,,33.40%,,26.90%,,51.80%,,50.80%,,44.70%
Skill Group 15-18,Rounds 2 - 3,CT Win,All T's Eliminated,,34.10%,,40.80%,,38.50%,,34.60%,,40.90%,,34.00%,,28.60%,,56.50%,,54.10%,,50.30%
Skill Group 1-6,Rounds 4 - 15,CT Win,All T's Eliminated,,35.40%,,39.40%,,39.80%,,33.80%,,35.60%,,34.40%,,25.70%,,47.90%,,48.80%,,40.00%
Skill Group 7-10,Rounds 4 - 15,CT Win,All T's Eliminated,,35.90%,,41.10%,,40.40%,,35.20%,,37.80%,,34.60%,,27.20%,,50.80%,,50.70%,,43.50%
Skill Group 11-14,Rounds 4 - 15,CT Win,All T's Eliminated,,36.30%,,43.00%,,40.50%,,37.10%,,41.40%,,35.30%,,29.90%,,52.20%,,52.00%,,48.20%
Skill Group 15-18,Rounds 4 - 15,CT Win,All T's Eliminated,,37.50%,,46.10%,,41.60%,,39.90%,,46.00%,,37.50%,,33.20%,,55.80%,,53.60%,,53.50%
Skill Group 1-6,Round 1,CT Win,Bomb Defused,16.10%,,15.20%,,12.60%,,16.20%,,14.60%,,15.90%,,18.00%,,13.70%,,7.50%,,13.70%,
Skill Group 7-10,Round 1,CT Win,Bomb Defused,16.10%,,16.40%,,13.40%,,16.80%,,12.90%,,18.20%,,22.10%,,14.60%,,8.00%,,12.60%,
Skill Group 11-14,Round 1,CT Win,Bomb Defused,14.90%,,15.10%,,13.80%,,16.60%,,12.30%,,21.80%,,21.10%,,14.30%,,7.20%,,10.80%,
Skill Group 15-18,Round 1,CT Win,Bomb Defused,14.00%,,13.10%,,13.60%,,16.10%,,11.60%,,23.30%,,20.20%,,13.50%,,7.20%,,8.40%,
Skill Group 1-6,Rounds 2 - 3,CT Win,Bomb Defused,13.20%,,12.60%,,9.60%,,13.20%,,10.90%,,13.50%,,17.40%,,9.80%,,5.60%,,11.40%,
Skill Group 7-10,Rounds 2 - 3,CT Win,Bomb Defused,11.60%,,12.30%,,8.80%,,12.50%,,8.60%,,13.10%,,17.60%,,9.10%,,5.10%,,9.10%,
Skill Group 11-14,Rounds 2 - 3,CT Win,Bomb Defused,9.20%,,9.70%,,7.30%,,10.00%,,7.30%,,13.40%,,15.00%,,7.20%,,4.00%,,7.00%,
Skill Group 15-18,Rounds 2 - 3,CT Win,Bomb Defused,7.40%,,7.60%,,6.30%,,8.30%,,5.70%,,12.00%,,12.40%,,6.40%,,3.80%,,4.90%,
Skill Group 1-6,Rounds 4 - 15,CT Win,Bomb Defused,12.60%,,13.00%,,9.70%,,13.70%,,8.50%,,13.10%,,18.40%,,8.60%,,5.50%,,9.80%,
Skill Group 7-10,Rounds 4 - 15,CT Win,Bomb Defused,12.20%,,12.80%,,9.80%,,13.20%,,9.30%,,14.50%,,17.70%,,8.60%,,5.70%,,8.90%,
Skill Group 11-14,Rounds 4 - 15,CT Win,Bomb Defused,11.80%,,12.00%,,10.70%,,12.90%,,9.20%,,16.40%,,18.20%,,8.50%,,5.40%,,8.20%,
Skill Group 15-18,Rounds 4 - 15,CT Win,Bomb Defused,11.50%,,10.80%,,11.40%,,12.10%,,8.90%,,17.00%,,17.30%,,7.70%,,4.90%,,6.60%,
Skill Group 1-6,Round 1,T Win,Target Bombed,6.60%,,8.90%,,5.80%,,10.70%,,6.80%,,11.00%,,20.00%,,3.60%,,3.10%,,9.20%,
Skill Group 7-10,Round 1,T Win,Target Bombed,4.00%,,6.00%,,3.70%,,6.80%,,4.40%,,7.10%,,13.70%,,2.60%,,2.00%,,6.10%,
Skill Group 11-14,Round 1,T Win,Target Bombed,2.30%,,3.30%,,2.70%,,3.20%,,2.90%,,4.90%,,10.70%,,1.80%,,1.50%,,2.70%,
Skill Group 15-18,Round 1,T Win,Target Bombed,1.40%,,1.80%,,1.90%,,2.00%,,1.80%,,3.20%,,7.20%,,1.20%,,0.70%,,1.60%,
Skill Group 1-6,Rounds 2 - 3,T Win,Target Bombed,6.40%,,6.80%,,5.50%,,9.10%,,8.30%,,8.70%,,13.70%,,2.90%,,2.60%,,7.30%,
Skill Group 7-10,Rounds 2 - 3,T Win,Target Bombed,5.10%,,5.20%,,4.40%,,6.20%,,4.70%,,6.50%,,10.50%,,2.10%,,2.10%,,4.30%,
Skill Group 11-14,Rounds 2 - 3,T Win,Target Bombed,4.20%,,3.70%,,4.30%,,4.30%,,3.70%,,5.10%,,7.10%,,1.60%,,1.90%,,2.70%,
Skill Group 15-18,Rounds 2 - 3,T Win,Target Bombed,3.50%,,2.70%,,4.30%,,3.40%,,3.50%,,4.20%,,5.80%,,1.30%,,1.70%,,1.50%,
Skill Group 1-6,Rounds 4 - 15,T Win,Target Bombed,6.50%,,6.10%,,5.80%,,8.60%,,7.30%,,8.20%,,10.10%,,2.70%,,2.60%,,5.40%,
Skill Group 7-10,Rounds 4 - 15,T Win,Target Bombed,6.50%,,5.40%,,5.50%,,6.90%,,5.70%,,7.40%,,10.20%,,2.60%,,2.80%,,3.70%,
Skill Group 11-14,Rounds 4 - 15,T Win,Target Bombed,6.30%,,4.50%,,6.10%,,5.70%,,4.80%,,6.90%,,8.40%,,2.50%,,2.70%,,2.40%,
Skill Group 15-18,Rounds 4 - 15,T Win,Target Bombed,5.70%,,3.70%,,6.40%,,4.90%,,4.50%,,5.80%,,6.70%,,2.10%,,2.30%,,1.70%,
Skill Group 1-6,Round 1,CT Win,Target Saved,,0.30%,,1.70%,,0.90%,,0.70%,,0.30%,,1.40%,,0.50%,,0.50%,,0.70%,,1.40%
Skill Group 7-10,Round 1,CT Win,Target Saved,,0.20%,,1.00%,,0.60%,,0.30%,,1.40%,,0.60%,,0.20%,,0.40%,,0.60%,,1.20%
Skill Group 11-14,Round 1,CT Win,Target Saved,,0.20%,,0.80%,,0.50%,,0.30%,,0.80%,,0.40%,,0.30%,,0.30%,,0.60%,,0.80%
Skill Group 15-18,Round 1,CT Win,Target Saved,,0.20%,,0.50%,,0.30%,,0.20%,,0.50%,,0.20%,,0.10%,,0.30%,,0.80%,,0.60%
Skill Group 1-6,Rounds 2 - 3,CT Win,Target Saved,,0.60%,,2.60%,,1.70%,,1.00%,,1.60%,,1.90%,,0.80%,,0.70%,,1.00%,,1.80%
Skill Group 7-10,Rounds 2 - 3,CT Win,Target Saved,,0.70%,,2.10%,,1.50%,,1.00%,,2.80%,,1.20%,,0.80%,,1.10%,,1.00%,,1.70%
Skill Group 11-14,Rounds 2 - 3,CT Win,Target Saved,,0.70%,,1.60%,,1.30%,,0.80%,,2.30%,,1.10%,,0.40%,,1.00%,,1.10%,,1.30%
Skill Group 15-18,Rounds 2 - 3,CT Win,Target Saved,,0.40%,,0.90%,,0.70%,,0.50%,,1.30%,,0.60%,,0.30%,,0.70%,,0.80%,,0.90%
Skill Group 1-6,Rounds 4 - 15,CT Win,Target Saved,,1.40%,,3.60%,,2.40%,,1.70%,,4.90%,,2.30%,,1.10%,,1.80%,,1.90%,,2.50%
Skill Group 7-10,Rounds 4 - 15,CT Win,Target Saved,,1.90%,,4.00%,,2.90%,,2.00%,,6.10%,,2.40%,,1.10%,,2.30%,,2.40%,,3.00%
Skill Group 11-14,Rounds 4 - 15,CT Win,Target Saved,,2.40%,,4.30%,,3.60%,,2.70%,,6.60%,,2.70%,,1.40%,,3.00%,,3.00%,,3.00%
Skill Group 15-18,Rounds 4 - 15,CT Win,Target Saved,,1.90%,,3.50%,,2.80%,,2.20%,,5.10%,,1.90%,,1.20%,,2.60%,,2.70%,,3.30%
