Skill Group Bin,Round Group,Winner,de_dust2,de_nuke,de_inferno,de_mirage,de_cbble,de_train,de_overpass,de_aztec,de_dust,de_vertigo
Skill Group 1-6,Round 1,T Win,55.90%,52.00%,52.20%,58.40%,52.40%,56.10%,66.00%,47.50%,49.60%,51.50%
Skill Group 7-10,Round 1,T Win,56.50%,51.80%,52.00%,57.50%,54.10%,55.10%,59.40%,46.50%,48.90%,51.40%
Skill Group 11-14,Round 1,T Win,58.00%,52.80%,54.80%,57.30%,54.50%,53.90%,60.30%,43.40%,48.30%,50.40%
Skill Group 15-18,Round 1,T Win,59.20%,54.40%,57.60%,57.90%,55.50%,53.60%,60.40%,41.30%,44.80%,49.30%
Skill Group 1-6,Rounds 2 - 3,T Win,54.30%,48.20%,50.20%,55.30%,48.70%,53.90%,60.40%,44.60%,46.50%,50.60%
Skill Group 7-10,Rounds 2 - 3,T Win,54.80%,47.40%,49.40%,54.50%,53.10%,53.60%,58.10%,42.40%,44.60%,49.20%
Skill Group 11-14,Rounds 2 - 3,T Win,56.40%,48.70%,51.90%,55.50%,51.20%,52.10%,57.80%,40.00%,44.10%,47.10%
Skill Group 15-18,Rounds 2 - 3,T Win,58.10%,50.80%,54.50%,56.60%,52.00%,53.40%,58.70%,36.40%,41.30%,43.90%
Skill Group 1-6,Rounds 4 - 15,T Win,50.70%,44.00%,48.10%,50.90%,51.00%,50.20%,54.90%,41.70%,43.80%,47.80%
Skill Group 7-10,Rounds 4 - 15,T Win,50.00%,42.20%,46.80%,49.50%,46.90%,48.50%,54.00%,38.30%,41.30%,44.60%
Skill Group 11-14,Rounds 4 - 15,T Win,49.50%,40.70%,45.30%,47.30%,42.80%,45.60%,50.60%,36.40%,39.60%,40.70%
Skill Group 15-18,Rounds 4 - 15,T Win,49.10%,39.60%,44.20%,45.90%,40.00%,43.60%,48.40%,34.00%,38.80%,36.60%
