Skill Group Bin,Round (group),Round Winner,RoundEndReason,de_dust2,de_dust2,de_nuke,de_nuke,de_inferno,de_inferno,de_mirage,de_mirage,de_cbble,de_cbble,de_cache,de_cache,de_overpass,de_overpass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group Bin,Round (group),Round Winner,RoundEndReason,Planted,Not Planted,Planted,Not Planted,Planted,Not Planted,Planted,Not Planted,Planted,Not Planted,Planted,Not Planted,Planted,Not Planted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 1-6,Round 1,T Win,All CT's Eliminated,36.70%,14.61%,28.02%,15.53%,30.89%,16.24%,36.13%,12.97%,32.09%,18.85%,35.63%,12.96%,33.05%,14.53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 7-10,Round 1,T Win,All CT's Eliminated,39.56%,14.69%,31.15%,15.40%,35.48%,14.16%,38.43%,13.16%,36.41%,18.47%,38.18%,12.40%,35.90%,14.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 11-14,Round 1,T Win,All CT's Eliminated,41.22%,15.01%,33.71%,15.18%,39.05%,13.00%,40.03%,12.92%,37.97%,18.69%,40.51%,12.21%,38.29%,13.55%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 15-18,Round 1,T Win,All CT's Eliminated,41.72%,14.92%,35.21%,15.24%,42.23%,11.92%,40.58%,12.43%,38.06%,17.93%,41.63%,11.45%,39.56%,12.84%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 1-6,Rounds 2 - 3,T Win,All CT's Eliminated,32.90%,15.40%,24.35%,16.50%,27.67%,16.36%,33.28%,13.92%,28.99%,20.09%,32.37%,12.84%,30.48%,14.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 7-10,Rounds 2 - 3,T Win,All CT's Eliminated,35.96%,14.10%,26.48%,14.90%,31.93%,12.55%,35.42%,12.33%,32.29%,18.51%,34.99%,11.47%,32.46%,13.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 11-14,Rounds 2 - 3,T Win,All CT's Eliminated,37.27%,14.48%,27.97%,14.92%,34.73%,11.19%,36.32%,12.32%,34.26%,18.45%,36.19%,11.97%,34.17%,13.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 15-18,Rounds 2 - 3,T Win,All CT's Eliminated,35.47%,15.86%,26.57%,16.62%,34.07%,10.85%,33.76%,13.97%,31.35%,18.24%,33.50%,13.76%,30.88%,14.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 1-6,Rounds 4 - 15,T Win,All CT's Eliminated,26.86%,16.98%,20.55%,16.30%,24.23%,16.69%,26.63%,15.48%,24.33%,20.12%,26.34%,14.09%,25.32%,15.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 7-10,Rounds 4 - 15,T Win,All CT's Eliminated,27.77%,14.39%,21.31%,13.46%,26.13%,11.77%,26.81%,13.12%,25.12%,17.53%,27.00%,11.99%,25.47%,12.87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 11-14,Rounds 4 - 15,T Win,All CT's Eliminated,28.56%,13.13%,21.35%,11.98%,27.04%,8.49%,26.67%,11.88%,25.30%,15.84%,27.34%,10.80%,25.78%,11.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 15-18,Rounds 4 - 15,T Win,All CT's Eliminated,29.10%,12.83%,21.01%,11.96%,27.08%,6.96%,25.93%,11.90%,24.45%,14.74%,27.15%,10.75%,24.82%,10.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
